name,slug,value,date_of_information,ranking,region
"Afghanistan","afghanistan","106.75","","1","South Asia"
"Somalia","somalia","88.03","","2","Africa"
"Central African Republic","central-african-republic","84.22","","3","Africa"
"Niger","niger","68.12","","4","Africa"
"Chad","chad","67.02","","5","Africa"
"Sierra Leone","sierra-leone","65.34","","6","Africa"
"Gambia, The","gambia-the","65.04","","7","Africa"
"South Sudan","south-sudan","64.77","","8","Africa"
"Equatorial Guinea","equatorial-guinea","63.25","","9","Africa"
"Mozambique","mozambique","63.03","","10","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","62.63","","11","Africa"
"Mali","mali","62.31","","12","Africa"
"Angola","angola","60.58","","13","Africa"
"Nigeria","nigeria","58.23","","14","Africa"
"Comoros","comoros","58.21","","15","Africa"
"Cote d'Ivoire","cote-divoire","57.36","","16","Africa"
"Benin","benin","57.23","","17","Africa"
"Pakistan","pakistan","55.26","","18","South Asia"
"Mauritania","mauritania","52.05","","19","Africa"
"Guinea","guinea","50.99","","20","Africa"
"Burkina Faso","burkina-faso","50.71","","21","Africa"
"Guinea-Bissau","guinea-bissau","50.44","","22","Africa"
"Lesotho","lesotho","50.23","","23","Africa"
"Cameroon","cameroon","50.09","","24","Africa"
"Laos","laos","49.48","","25","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","49.28","","26","Africa"
"Djibouti","djibouti","47.78","","27","Africa"
"Senegal","senegal","47.72","","28","Africa"
"Yemen","yemen","47.56","","29","Middle East"
"Liberia","liberia","45.98","","30","Africa"
"Cambodia","cambodia","45.62","","31","East Asia/Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","45.30","","32","Africa"
"Sudan","sudan","43.15","","33","Africa"
"Togo","togo","42.64","","34","Africa"
"Eritrea","eritrea","42.39","","35","Africa"
"Haiti","haiti","41.29","","36","Central America"
"Eswatini","eswatini","41.20","","37","Africa"
"Papua New Guinea","papua-new-guinea","40.33","","38","East Asia/Southeast Asia"
"Madagascar","madagascar","39.82","","39","Africa"
"India","india","39.55","","40","South Asia"
"Bolivia","bolivia","39.27","","41","South America"
"Burundi","burundi","38.96","","42","Africa"
"Turkmenistan","turkmenistan","38.54","","43","Central Asia"
"Zambia","zambia","37.91","","44","Africa"
"Bhutan","bhutan","35.99","","45","South Asia"
"Kosovo","kosovo","35.93","","46","Europe"
"Ethiopia","ethiopia","34.62","","47","Africa"
"Timor-Leste","timor-leste","34.47","","48","East Asia/Southeast Asia"
"Malawi","malawi","34.19","","49","Africa"
"Burma","burma","33.71","","50","East Asia/Southeast Asia"
"Kiribati","kiribati","33.66","","51","Australia - Oceania"
"Ghana","ghana","33.33","","52","Africa"
"Tajikistan","tajikistan","33.05","","53","Central Asia"
"Tanzania","tanzania","31.51","","54","Africa"
"Uganda","uganda","31.49","","55","Africa"
"Bangladesh","bangladesh","31.13","","56","South Asia"
"Namibia","namibia","30.38","","57","Africa"
"Tuvalu","tuvalu","29.52","","58","Australia - Oceania"
"Gabon","gabon","29.45","","59","Africa"
"Zimbabwe","zimbabwe","29.41","","60","Africa"
"Kenya","kenya","28.81","","61","Africa"
"Rwanda","rwanda","27.16","","62","Africa"
"South Africa","south-africa","26.82","","63","Africa"
"Guatemala","guatemala","26.81","","64","Central America"
"Suriname","suriname","26.60","","65","South America"
"Maldives","maldives","26.40","","66","South Asia"
"Kyrgyzstan","kyrgyzstan","26.26","","67","Central Asia"
"Botswana","botswana","25.97","","68","Africa"
"Nepal","nepal","25.73","","69","South Asia"
"Trinidad and Tobago","trinidad-and-tobago","24.55","","70","Central America"
"Azerbaijan","azerbaijan","24.10","","71","Middle East"
"Cabo Verde","cabo-verde","24.10","","72","Africa"
"Paraguay","paraguay","23.83","","73","South America"
"Guyana","guyana","22.68","","74","South America"
"Micronesia, Federated States of","micronesia-federated-states-of","22.45","","75","Australia - Oceania"
"Korea, North","korea-north","22.42","","76","East Asia/Southeast Asia"
"Venezuela","venezuela","22.23","","77","South America"
"Marshall Islands","marshall-islands","22.20","","78","Australia - Oceania"
"Dominican Republic","dominican-republic","21.68","","79","Central America"
"Mongolia","mongolia","20.60","","80","East Asia/Southeast Asia"
"Philippines","philippines","20.55","","81","East Asia/Southeast Asia"
"Solomon Islands","solomon-islands","20.52","","82","Australia - Oceania"
"Algeria","algeria","20.23","","83","Africa"
"Indonesia","indonesia","20.16","","84","East Asia/Southeast Asia"
"Iraq","iraq","20.08","","85","Middle East"
"Turkey","turkey","19.87","","86","Middle East"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","19.77","","87","Africa"
"Kazakhstan","kazakhstan","19.59","","88","Central Asia"
"Nicaragua","nicaragua","19.57","","89","Central America"
"Uzbekistan","uzbekistan","19.42","","90","Central Asia"
"Peru","peru","19.37","","91","South America"
"Morocco","morocco","19.00","","92","Africa"
"Samoa","samoa","18.75","","93","Australia - Oceania"
"Ecuador","ecuador","18.55","","94","South America"
"Brazil","brazil","18.37","","95","South America"
"Egypt","egypt","18.25","","96","Africa"
"Cook Islands","cook-islands","16.33","","97","Australia - Oceania"
"Syria","syria","16.27","","98","Middle East"
"West Bank","west-bank","15.68","","99","Middle East"
"Gaza Strip","gaza-strip","15.60","","100","Middle East"
"Honduras","honduras","15.39","","101","Central America"
"Georgia","georgia","15.10","","102","Middle East"
"Iran","iran","15.10","","103","Middle East"
"Vietnam","vietnam","15.09","","104","East Asia/Southeast Asia"
"Oman","oman","14.76","","105","Middle East"
"Vanuatu","vanuatu","14.69","","106","Australia - Oceania"
"Antigua and Barbuda","antigua-and-barbuda","14.65","","107","Central America"
"British Virgin Islands","british-virgin-islands","14.56","","108","Central America"
"Jordan","jordan","14.25","","109","Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","13.16","","110","Central America"
"Bahamas, The","bahamas-the","13.05","","111","Central America"
"Colombia","colombia","12.88","","112","South America"
"Northern Mariana Islands","northern-mariana-islands","12.79","","113","Australia - Oceania"
"Tonga","tonga","12.73","","114","Australia - Oceania"
"Saudi Arabia","saudi-arabia","12.58","","115","Middle East"
"Armenia","armenia","12.47","","116","Middle East"
"Aruba","aruba","12.39","","117","Central America"
"El Salvador","el-salvador","12.38","","118","Central America"
"Saint Lucia","saint-lucia","12.23","","119","Central America"
"Tunisia","tunisia","12.16","","120","Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","11.87","","121","Central America"
"Moldova","moldova","11.83","","122","Europe"
"Guam","guam","11.73","","123","Australia - Oceania"
"Mexico","mexico","11.64","","124","North America"
"Dominica","dominica","11.56","","125","Central America"
"Palau","palau","11.52","","126","Australia - Oceania"
"Libya","libya","11.48","","127","Africa"
"Jamaica","jamaica","11.42","","128","Central America"
"Belize","belize","11.40","","129","Central America"
"Panama","panama","11.25","","130","Central America"
"China","china","11.15","","131","East Asia/Southeast Asia"
"Albania","albania","11.10","","132","Europe"
"Seychelles","seychelles","10.83","","133","Africa"
"Mauritius","mauritius","10.82","","134","Africa"
"Brunei","brunei","10.79","","135","East Asia/Southeast Asia"
"Montserrat","montserrat","10.70","","136","Central America"
"Bahrain","bahrain","10.54","","137","Middle East"
"Fiji","fiji","10.27","","138","Australia - Oceania"
"American Samoa","american-samoa","10.25","","139","Australia - Oceania"
"Barbados","barbados","10.23","","140","Central America"
"Grenada","grenada","9.60","","141","Central America"
"Argentina","argentina","9.55","","142","South America"
"Romania","romania","9.41","","143","Europe"
"Croatia","croatia","8.91","","144","Europe"
"Greenland","greenland","8.90","","145","North America"
"Cyprus","cyprus","8.61","","146","Europe"
"Costa Rica","costa-rica","8.59","","147","Central America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8.50","","148","Central America"
"Uruguay","uruguay","8.48","","149","South America"
"Sri Lanka","sri-lanka","8.36","","150","South Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon-2","8.35","","151","North America"
"Sint Maarten","sint-maarten","8.16","","152","Central America"
"Bulgaria","bulgaria","8.14","","153","Europe"
"Curacao","curacao","8.05","","154","Central America"
"Nauru","nauru","7.96","","155","Australia - Oceania"
"Cayman Islands","cayman-islands","7.84","","156","Central America"
"Virgin Islands","virgin-islands","7.81","","157","Central America"
"Kuwait","kuwait","7.60","","158","Middle East"
"Ukraine","ukraine","7.44","","160","Europe"
"Lebanon","lebanon","7.20","","161","Middle East"
"Saint Barthelemy","saint-barthelemy","6.85","","162","Central America"
"Saint Martin","saint-martin","6.85","","163","Central America"
"Malaysia","malaysia","6.70","","164","East Asia/Southeast Asia"
"Qatar","qatar","6.70","","165","Middle East"
"Chile","chile","6.68","","166","South America"
"San Marino","san-marino","6.67","","167","Europe"
"Thailand","thailand","6.58","","168","East Asia/Southeast Asia"
"Russia","russia","6.51","","169","Central Asia"
"Gibraltar","gibraltar","6.38","","170","Europe"
"Puerto Rico","puerto-rico","6.16","","171","Central America"
"Faroe Islands","faroe-islands","6.11","","172","Europe"
"Serbia","serbia","5.67","","173","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","5.32","","174","Europe"
"United Arab Emirates","united-arab-emirates","5.25","","175","Middle East"
"United States","united-states","5.22","","176","North America"
"New Caledonia","new-caledonia","5.08","","177","Australia - Oceania"
"Latvia","latvia","4.93","","178","Europe"
"Slovakia","slovakia","4.90","","179","Europe"
"Hungary","hungary","4.69","","180","Europe"
"Macau","macau","4.69","","181","East Asia/Southeast Asia"
"Malta","malta","4.62","","182","Europe"
"French Polynesia","french-polynesia","4.46","","183","Australia - Oceania"
"Canada","canada","4.44","","184","North America"
"Isle of Man","isle-of-man","4.31","","185","Europe"
"United Kingdom","united-kingdom","4.27","","186","Europe"
"Poland","poland","4.22","","187","Europe"
"Cuba","cuba","4.19","","188","Central America"
"Liechtenstein","liechtenstein","4.12","","189","Europe"
"Wallis and Futuna","wallis-and-futuna","4.06","","190","Australia - Oceania"
"Taiwan","taiwan","4.03","","191","East Asia/Southeast Asia"
"Jersey","jersey","3.94","","192","Europe"
"Lithuania","lithuania","3.66","","193","Europe"
"Switzerland","switzerland","3.64","","194","Europe"
"Israel","israel","3.62","","195","Middle East"
"Greece","greece","3.61","","196","Europe"
"Ireland","ireland","3.52","","197","Europe"
"Andorra","andorra","3.50","","198","Europe"
"New Zealand","new-zealand","3.50","","199","Australia - Oceania"
"Estonia","estonia","3.47","","200","Europe"
"Netherlands","netherlands","3.45","","201","Europe"
"Guernsey","guernsey","3.41","","202","Europe"
"Belarus","belarus","3.31","","203","Europe"
"Luxembourg","luxembourg","3.30","","204","Europe"
"Austria","austria","3.29","","205","Europe"
"Montenegro","montenegro","3.29","","206","Europe"
"Belgium","belgium","3.24","","207","Europe"
"Germany","germany","3.24","","208","Europe"
"France","france","3.19","","209","Europe"
"Italy","italy","3.14","","210","Europe"
"Spain","spain","3.14","","211","Europe"
"Anguilla","anguilla","3.11","","212","Central America"
"Denmark","denmark","3.09","","213","Europe"
"Australia","australia","3.05","","214","Australia - Oceania"
"Korea, South","korea-south","2.91","","215","East Asia/Southeast Asia"
"Hong Kong","hong-kong","2.59","","216","East Asia/Southeast Asia"
"Portugal","portugal","2.53","","217","Europe"
"Sweden","sweden","2.45","","218","Europe"
"Czechia","czechia","2.42","","219","Europe"
"Norway","norway","2.34","","220","Europe"
"Bermuda","bermuda","2.21","","221","North America"
"Finland","finland","2.15","","222","Europe"
"Japan","japan","1.92","","223","East Asia/Southeast Asia"
"Monaco","monaco","1.78","","224","Europe"
"Iceland","iceland","1.66","","225","Europe"
"Singapore","singapore","1.56","","226","East Asia/Southeast Asia"
"Slovenia","slovenia","1.53","","227","Europe"